[DEBUG] 2022-06-14 19:43:19.345 [main] StatisticsInitiator - Statistics initialized [enabled=true]
[DEBUG] 2022-06-14 19:43:21.167 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 42ms, rows: 10
[DEBUG] 2022-06-14 19:43:21.176 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 4ms, rows: 1
[DEBUG] 2022-06-14 19:45:28.519 [main] StatisticsInitiator - Statistics initialized [enabled=true]
[DEBUG] 2022-06-14 19:45:30.424 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 51ms, rows: 10
[DEBUG] 2022-06-14 19:45:30.435 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 5ms, rows: 1
[DEBUG] 2022-06-14 19:45:40.701 [main] StatisticsInitiator - Statistics initialized [enabled=true]
[DEBUG] 2022-06-14 19:45:43.964 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 1413ms, rows: 10000
[DEBUG] 2022-06-14 19:45:44.018 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 5ms, rows: 10
[DEBUG] 2022-06-14 19:45:44.026 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 3ms, rows: 1
[DEBUG] 2022-06-14 19:45:44.049 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 5ms, rows: 10
[DEBUG] 2022-06-14 19:45:44.054 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 4ms, rows: 1
[DEBUG] 2022-06-14 19:45:44.852 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 756ms, rows: 10000
[DEBUG] 2022-06-14 19:45:44.883 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 4ms, rows: 10
[DEBUG] 2022-06-14 19:45:44.886 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 3ms, rows: 1
[DEBUG] 2022-06-14 19:45:44.906 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 3ms, rows: 10
[DEBUG] 2022-06-14 19:45:44.910 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 3ms, rows: 1
[DEBUG] 2022-06-14 19:45:45.705 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 772ms, rows: 10000
[DEBUG] 2022-06-14 19:45:45.732 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 3ms, rows: 10
[DEBUG] 2022-06-14 19:45:45.735 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 3ms, rows: 1
[DEBUG] 2022-06-14 19:45:45.751 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:45:45.754 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 3ms, rows: 1
[DEBUG] 2022-06-14 19:45:46.378 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 602ms, rows: 10000
[DEBUG] 2022-06-14 19:45:46.413 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 4ms, rows: 10
[DEBUG] 2022-06-14 19:45:46.417 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 4ms, rows: 1
[DEBUG] 2022-06-14 19:45:46.440 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 4ms, rows: 10
[DEBUG] 2022-06-14 19:45:46.444 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 3ms, rows: 1
[DEBUG] 2022-06-14 19:45:47.102 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 627ms, rows: 10000
[DEBUG] 2022-06-14 19:45:47.128 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 3ms, rows: 10
[DEBUG] 2022-06-14 19:45:47.131 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 3ms, rows: 1
[DEBUG] 2022-06-14 19:45:47.149 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:45:47.152 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 2ms, rows: 1
[DEBUG] 2022-06-14 19:45:47.848 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 675ms, rows: 10000
[DEBUG] 2022-06-14 19:45:47.869 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:45:47.871 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 2ms, rows: 1
[DEBUG] 2022-06-14 19:45:47.885 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
